,name,prices,offers
135,CITY MIXING GLASS WITH SPOON,65.0,0
136,Edo  Pan With 2 Handles,220.0,0
137,EQUAL TERMS CONDIMENT SET,162.51,0
138,Ocean Dreaming Placemats,49.95,0
139,Street Cognac,95.0,0
140,MAN WATER JUG,487.52,0
141,Paton Extra Large Frame,49.95,0
142,Fascination Placemats,49.95,0
143,Souk Bowl,17.95,0
144,"Alfredo Salad Bowl, Stainless Steel",165.0,0
145,Mindful Placemats,49.95,0
146,Street Double Old Fashion,60.0,0
147,Performance Riesling Set of 2,110.0,0
148,WINE & BAR CORKSCREW WINE STOPPER AND WINE POURER,255.0,0
149,Dogs Dinner Coasters,17.95,0
150,Souk Large Dip Bowl,24.95,0
151,Souk Dinner Plate,19.95,0
152,Souk Shallow Bowl,19.95,0
153,Bush Blooms Placemats,49.95,0
154,LAID BACK CHIP & DIP,644.78,0
155,Vivi Jug,49.95,0
156,Unikko jute placemat,53.0,0
157,Oiva/Unikko mug 250ml,35.0,0
158,Blue Italian daisy bowl 25cm,243.0,0
159,Nut Splitter Nutcracker,45.0,0
160,Oiva/Rasymatto Mug,41.0,0
161,KISS SALAD SERVERS,94.35,0
162,ROOST EGG CUP,95.0,0
163,Bush Blooms Coasters,17.95,0
164,Blue Italian octagonal platter 36cm,375.0,0
165,Oiva/Siirtolapuutarha serving Bowl 3.4L,149.0,0
166,GIANNI KITCHEN JAR 0.9L BLUE,60.0,0
167,Oiva/Unikko mug 250ML,35.0,0
168,Mindful Coasters,17.95,0
169,Souk Mug,14.95,0
170,CONCIERGE - BACKBEND,429.83,0
171,City Decanter,395.0,0
172,Souk Side Plate,17.95,0
173,Crystal Coupe Glass Pair,69.95,0
174,Anna G. Corkscrew Black,135.0,0
175,Demm Mug,19.95,0
176,Calo Hand Towel,19.95,0
177,Calo Bath Sheet,64.95,0
178,Elli Tea Towel,14.95,0
179,Wine Cooler,220.0,0
180,Calo Face Washer,12.95,0
181,SNOWBALL TEALIGHT HOLDER,65.0,0
182,Tapas Shallow Bowl,19.95,0
183,Weber Q (Q2000au) Black Bbq Lp,499.0,0
184,Meeka Tea Towel 2 Pack,29.95,0
185,Silk Pillowcase,79.95,0
186,Xave Tea Towel Pack Of 3,34.95,0
187,Tapas Mug,14.95,0
188,More Champagne 4 Pack,135.0,0
189,Dane Small Vase,29.95,0
190,More Wine 4 Pack,135.0,0
191,Tapas Bowl,17.95,0
192,Dane Ceramic Large Vase,79.95,0
193,Yarra Noodle Bowl,24.95,0
194,Dane Medium Vase,49.95,0
